lda1,lda2,region_name,geography_name,geography_code,region_code
-7.6353991615421855,-6.225654038878101,North East,Darlington,E06000005,E12000001
-6.986522698226216,-11.037050677103647,North East,County Durham,E06000047,E12000001
-4.167189455977876,-10.899830267613156,North East,Hartlepool,E06000001,E12000001
-6.3478879464168125,-8.960481857818301,North East,Middlesbrough,E06000002,E12000001
-6.174716567080551,-9.711906896806433,North East,Redcar and Cleveland,E06000003,E12000001
-7.576446591351142,-10.11714120242482,North East,Stockton-on-Tees,E06000004,E12000001
-6.977238243644013,-9.9360448671517,North East,Newcastle upon Tyne,E08000021,E12000001
-8.266594860094319,-9.777676858325847,North East,North Tyneside,E08000022,E12000001
-4.964799906091905,-9.631437897857312,North East,South Tyneside,E08000023,E12000001
-6.307473814277222,-11.078887777686031,North East,Sunderland,E08000024,E12000001
-3.76093676545003,-9.114215250794865,North West,Blackburn with Darwen,E06000008,E12000002
-3.636283348402581,-8.984526373254393,North West,Blackpool,E06000009,E12000002
-4.103352139448153,-8.686686823621034,North West,Cheshire East,E06000049,E12000002
-3.538229099982974,-10.075124136751233,North West,Cheshire West and Chester,E06000050,E12000002
-2.3790392791212978,-9.143905766652757,North West,Halton,E06000006,E12000002
-2.548489522103023,-8.944302503562925,North West,Warrington,E06000007,E12000002
-4.092145348372885,-8.907710248664007,North West,Allerdale,E07000026,E12000002
-4.499423064768088,-6.769951588062226,North West,Barrow-in-Furness,E07000027,E12000002
-0.7799442960556637,-9.440727905806519,North West,Carlisle,E07000028,E12000002
-3.2789712918378155,-9.034616835879678,North West,Copeland,E07000029,E12000002
-1.6955011381002958,-6.6409816653021965,North West,Eden,E07000030,E12000002
-2.692962980068708,-9.725408279023096,North West,South Lakeland,E07000031,E12000002
-2.516168858969149,-9.29312530937595,North West,Bolton,E08000001,E12000002
-2.8575640634291135,-8.806477301037571,North West,Bury,E08000002,E12000002
-2.3248364705945725,-8.921601544106876,North West,Manchester,E08000003,E12000002
-3.000375262448121,-9.301523527030744,North West,Oldham,E08000004,E12000002
-4.417212137178559,-8.593387345860432,North West,Rochdale,E08000005,E12000002
-3.1859352215470693,-9.53745208211199,North West,Salford,E08000006,E12000002
-3.9355279790723197,-9.55701015105733,North West,Stockport,E08000007,E12000002
-2.8181591770568675,-7.847412209469408,North West,Tameside,E08000008,E12000002
-1.7339918066903393,-8.492444124933238,North West,Trafford,E08000009,E12000002
-1.7818254015469606,-9.13131047005891,North West,Wigan,E08000010,E12000002
-3.1678263051811633,-7.691155099192243,North West,Burnley,E07000117,E12000002
-2.9460789824351106,-7.53952583795257,North West,Chorley,E07000118,E12000002
-2.5410504167225088,-7.385787541773451,North West,Fylde,E07000119,E12000002
-4.295237121171127,-6.904148636978898,North West,Hyndburn,E07000120,E12000002
-2.8339226840713896,-8.957902420535001,North West,Lancaster,E07000121,E12000002
-0.79416025577643,-7.120610722207451,North West,Pendle,E07000122,E12000002
-2.529059584679642,-9.785316939712374,North West,Preston,E07000123,E12000002
-0.8753607326947273,-9.370979221666905,North West,Ribble Valley,E07000124,E12000002
