pca1,pca2,region_name,geography_name,geography_code,region_code
-39840.606037064026,3666.800063060448,North East,Darlington,E06000005,E12000001
245779.35479482345,54774.29195306264,North East,County Durham,E06000047,E12000001
-56994.84771557693,4477.515833917026,North East,Hartlepool,E06000001,E12000001
-31546.242554130946,4240.3888460244625,North East,Middlesbrough,E06000002,E12000001
-27453.832817991573,8286.92520257889,North East,Redcar and Cleveland,E06000003,E12000001
20556.517298839284,12546.290514803002,North East,Stockton-on-Tees,E06000004,E12000001
65874.75895433738,-1609.2601342401176,North East,Newcastle upon Tyne,E08000021,E12000001
32700.822813650888,5743.01100720202,North East,North Tyneside,E08000022,E12000001
-14609.924685288539,10082.553845293138,North East,South Tyneside,E08000023,E12000001
75582.56726228006,23678.51603203183,North East,Sunderland,E08000024,E12000001
-25425.087422015644,284.35516466794934,North West,Blackburn with Darwen,E06000008,E12000002
-20233.252380387148,5937.237645812252,North West,Blackpool,E06000009,E12000002
168750.57768339373,25448.701142472,North West,Cheshire East,E06000049,E12000002
136216.5409345364,25602.107799949863,North West,Cheshire West and Chester,E06000050,E12000002
-24486.83060441507,12790.361815688968,North West,Halton,E06000006,E12000002
42680.45360932797,15856.305016944758,North West,Warrington,E06000007,E12000002
-43174.35243492773,9144.05532045944,North West,Allerdale,E07000026,E12000002
-67331.6888509239,3890.045146022846,North West,Barrow-in-Furness,E07000027,E12000002
-31732.084953220656,6628.859458606685,North West,Carlisle,E07000028,E12000002
-64093.738978860776,7474.289974997647,North West,Copeland,E07000029,E12000002
-73471.73604321547,784.3322774066938,North West,Eden,E07000030,E12000002
-35543.94520545858,3215.5136185925103,North West,South Lakeland,E07000031,E12000002
74230.2156663156,13795.90004465239,North West,Bolton,E08000001,E12000002
19217.764985402013,7212.218123122377,North West,Bury,E08000002,E12000002
202137.12661335975,-22237.200091069855,North West,Manchester,E08000003,E12000002
32514.140639947578,9952.866884515774,North West,Oldham,E08000004,E12000002
24035.248047253117,8495.10978996429,North West,Rochdale,E08000005,E12000002
49364.33032306734,8961.9341640269,North West,Salford,E08000006,E12000002
96427.88960379694,7691.464264892041,North West,Stockport,E08000007,E12000002
42042.81162612343,11740.449423284663,North West,Tameside,E08000008,E12000002
54648.883344225775,4566.617980157784,North West,Trafford,E08000009,E12000002
124334.53095216797,43212.757801539716,North West,Wigan,E08000010,E12000002
-57068.09287698456,3165.2105362355824,North West,Burnley,E07000117,E12000002
-30989.90923200363,9923.317946470732,North West,Chorley,E07000118,E12000002
-62107.66261630896,2948.186232420341,North West,Fylde,E07000119,E12000002
-60064.393512053975,4109.550220498979,North West,Hyndburn,E07000120,E12000002
-18200.33911377732,4563.048642409504,North West,Lancaster,E07000121,E12000002
-56832.68599496949,-809.9869219840724,North West,Pendle,E07000122,E12000002
-17792.17429658391,4289.068240563955,North West,Preston,E07000123,E12000002
-70571.03819052395,4205.01789332807,North West,Ribble Valley,E07000124,E12000002
-65498.790369487426,574.7514482282111,North West,Rossendale,E07000125,E12000002
-27780.993569204296,11074.27343908097,North West,South Ribble,E07000126,E12000002
-33591.430838134926,10479.441775504054,North West,West Lancashire,E07000127,E12000002
-39336.787422639194,7695.89031206708,North West,Wyre,E07000128,E12000002
-16622.39429071366,18003.67482583559,North West,Knowsley,E08000011,E12000002
194712.43726951862,36843.9739492599,North West,Liverpool,E08000012,E12000002
78997.67481592669,28109.557624644563,North West,Sefton,E08000014,E12000002
10188.984640416205,21701.37109339257,North West,St. Helens,E08000013,E12000002
104935.39863311297,24091.99635735851,North West,Wirral,E08000015,E12000002
133225.06781387192,24516.557269240722,Yorkshire and The Humber,East Riding of Yorkshire,E06000011,E12000003
53948.98678877283,4168.636966484794,Yorkshire and The Humber,"Kingston upon Hull, City of",E06000010,E12000003
-6404.671143889268,5699.1605459650145,Yorkshire and The Humber,North East Lincolnshire,E06000012,E12000003
5911.772033953946,13030.373747426496,Yorkshire and The Humber,North Lincolnshire,E06000013,E12000003
35290.71213873693,-1241.8850814361085,Yorkshire and The Humber,York,E06000014,E12000003
-73411.71883706067,-643.7264083026554,Yorkshire and The Humber,Craven,E07000163,E12000003
-44928.44743192656,5520.400173969641,Yorkshire and The Humber,Hambleton,E07000164,E12000003
11353.596959556982,6457.577476689042,Yorkshire and The Humber,Harrogate,E07000165,E12000003
-73400.42975433824,734.9894383145555,Yorkshire and The Humber,Richmondshire,E07000166,E12000003
-76427.1497007904,996.6813746059719,Yorkshire and The Humber,Ryedale,E07000167,E12000003
-40689.9681572862,3632.6797281047498,Yorkshire and The Humber,Scarborough,E07000168,E12000003
-48567.40309063657,4399.00893164402,Yorkshire and The Humber,Selby,E07000169,E12000003
46986.17260039438,17522.612915011417,Yorkshire and The Humber,Barnsley,E08000016,E12000003
93977.78979177537,21385.231695654205,Yorkshire and The Humber,Doncaster,E08000017,E12000003
63971.1612091328,18526.719889912383,Yorkshire and The Humber,Rotherham,E08000018,E12000003
255486.32289060153,-6123.8599973040955,Yorkshire and The Humber,Sheffield,E08000019,E12000003
210181.09950703575,-9226.170889586523,Yorkshire and The Humber,Bradford,E08000032,E12000003
31186.196746282727,344.7371937098443,Yorkshire and The Humber,Calderdale,E08000033,E12000003
176145.33423576585,6159.5946651163695,Yorkshire and The Humber,Kirklees,E08000034,E12000003
424648.31614673784,1267.651616053701,Yorkshire and The Humber,Leeds,E08000035,E12000003
121852.67936766826,23321.770318364393,Yorkshire and The Humber,Wakefield,E08000036,E12000003
53302.47829146127,560.0207971608659,East Midlands,Derby,E06000015,E12000004
74571.97773737983,-29746.973866748318,East Midlands,Leicester,E06000016,E12000004
66290.10284395819,-16547.90650202252,East Midlands,Nottingham,E06000018,E12000004
-88559.71479859849,-1840.6880208833143,East Midlands,Rutland,E06000017,E12000004
-24843.860713855312,2703.3956583299773,East Midlands,Amber Valley,E07000032,E12000004
-62639.59423355419,1616.5356703448226,East Midlands,Bolsover,E07000033,E12000004
-42022.27476510977,1606.875666630311,East Midlands,Chesterfield,E07000034,E12000004
-61796.892823755894,1127.023883977869,East Midlands,Derbyshire Dales,E07000035,E12000004
-32301.931355490044,-585.9415177299774,East Midlands,Erewash,E07000036,E12000004
-45719.76924495357,975.2100705553243,East Midlands,High Peak,E07000037,E12000004
-43078.47509580831,3777.878720897385,East Midlands,North East Derbyshire,E07000038,E12000004
-42155.03289573539,3202.343734224908,East Midlands,South Derbyshire,E07000039,E12000004
-42883.36084511649,-1537.1989246967835,East Midlands,Blaby,E07000129,E12000004
4403.5385259931545,-1176.0965074778494,East Midlands,Charnwood,E07000130,E12000004
-47989.954833546995,859.2054703247006,East Midlands,Harborough,E07000131,E12000004
-33008.28059209446,2864.9545354944016,East Midlands,Hinckley and Bosworth,E07000132,E12000004
-75719.20494884682,190.92614244216082,East Midlands,Melton,E07000133,E12000004
-44561.582183027465,2174.2010378067325,East Midlands,North West Leicestershire,E07000134,E12000004
-78329.18422291713,-6004.8122388630045,East Midlands,Oadby and Wigston,E07000135,E12000004
-67868.08402342917,4275.897965804887,East Midlands,Boston,E07000136,E12000004
-27720.68077057064,6390.036118044555,East Midlands,East Lindsey,E07000137,E12000004
-47886.48695107715,-800.6640352725788,East Midlands,Lincoln,E07000138,E12000004
-34126.25563323784,6588.409806665792,East Midlands,North Kesteven,E07000139,E12000004
-50848.39658851925,6846.905457066616,East Midlands,South Holland,E07000140,E12000004
-11702.455256254785,9186.3442955462,East Midlands,South Kesteven,E07000141,E12000004
-50303.09646621791,4842.921059647043,East Midlands,West Lindsey,E07000142,E12000004
-69159.35758795905,133.396824546727,East Midlands,Corby,E07000150,E12000004
-55115.565164166066,549.2347988791109,East Midlands,Daventry,E07000151,E12000004
-49416.59988883292,-560.0205189986239,East Midlands,East Northamptonshire,E07000152,E12000004
-44288.53251502526,-645.7923093462759,East Midlands,Kettering,E07000153,E12000004
46816.64622829456,629.5225468881727,East Midlands,Northampton,E07000154,E12000004
-45452.30756709392,744.3533835033779,East Midlands,South Northamptonshire,E07000155,E12000004
-61154.52722360238,-1822.5020394136711,East Midlands,Wellingborough,E07000156,E12000004
-31260.299366396597,1031.5660735528563,East Midlands,Ashfield,E07000170,E12000004
-32926.64473565965,8593.356183094129,East Midlands,Bassetlaw,E07000171,E12000004
-35481.375767769525,-3202.775362278696,East Midlands,Broxtowe,E07000172,E12000004
-31427.960044842308,-2997.545810841404,East Midlands,Gedling,E07000173,E12000004
-41441.41371405943,1757.439702710337,East Midlands,Mansfield,E07000174,E12000004
-31281.9376497416,4364.736028522673,East Midlands,Newark and Sherwood,E07000175,E12000004
-32043.637223977275,-4116.840717651086,East Midlands,Rushcliffe,E07000176,E12000004
25523.17889123582,13056.77575570932,West Midlands,"Herefordshire, County of",E06000019,E12000005
121667.92612238463,24261.59773870044,West Midlands,Shropshire,E06000051,E12000005
51600.95382077837,11675.000434267473,West Midlands,Stoke-on-Trent,E06000021,E12000005
4780.327698530351,7777.604640621592,West Midlands,Telford and Wrekin,E06000020,E12000005
-41715.12582520661,6850.43546736131,West Midlands,Cannock Chase,E07000192,E12000005
-31101.76649907249,5229.115401963594,West Midlands,East Staffordshire,E07000193,E12000005
-39516.5920920321,4368.583798018646,West Midlands,Lichfield,E07000194,E12000005
-26539.33617115712,5501.3442332544355,West Midlands,Newcastle-under-Lyme,E07000195,E12000005
-32036.768191279887,8726.02372502778,West Midlands,South Staffordshire,E07000196,E12000005
-15375.564821701491,7000.679744017218,West Midlands,Stafford,E07000197,E12000005
-41156.395352442574,7099.172178817467,West Midlands,Staffordshire Moorlands,E07000198,E12000005
-56958.63896435518,1411.6563525861943,West Midlands,Tamworth,E07000199,E12000005
-67556.3553582437,2049.6835656737007,West Midlands,North Warwickshire,E07000218,E12000005
-23288.980600230898,5461.198678015604,West Midlands,Nuneaton and Bedworth,E07000219,E12000005
