,date,geography,geography_code,Industry,value
23,2011,Darlington,E06000005, Q Human health and social work activities,8777
40,2011,County Durham,E06000047, G Wholesale and retail trade; repair of motor vehicles and motor cycles,29107
77,2011,Hartlepool,E06000001, Q Human health and social work activities,5589
104,2011,Middlesbrough,E06000002, Q Human health and social work activities,14528
121,2011,Northumberland,E06000057, G Wholesale and retail trade; repair of motor vehicles and motor cycles,18455
148,2011,Redcar and Cleveland,E06000003, G Wholesale and retail trade; repair of motor vehicles and motor cycles,7302
175,2011,Stockton-on-Tees,E06000004, G Wholesale and retail trade; repair of motor vehicles and motor cycles,14867
202,2011,Gateshead,E08000037, G Wholesale and retail trade; repair of motor vehicles and motor cycles,18202
239,2011,Newcastle upon Tyne,E08000021, Q Human health and social work activities,28403
256,2011,North Tyneside,E08000022, G Wholesale and retail trade; repair of motor vehicles and motor cycles,12967
293,2011,South Tyneside,E08000023, Q Human health and social work activities,8763
310,2011,Sunderland,E08000024, G Wholesale and retail trade; repair of motor vehicles and motor cycles,18879
337,2011,Blackburn with Darwen,E06000008, G Wholesale and retail trade; repair of motor vehicles and motor cycles,10850
374,2011,Blackpool,E06000009, Q Human health and social work activities,11809
391,2011,Cheshire East,E06000049, G Wholesale and retail trade; repair of motor vehicles and motor cycles,30722
418,2011,Cheshire West and Chester,E06000050, G Wholesale and retail trade; repair of motor vehicles and motor cycles,29503
445,2011,Halton,E06000006, G Wholesale and retail trade; repair of motor vehicles and motor cycles,10943
472,2011,Warrington,E06000007, G Wholesale and retail trade; repair of motor vehicles and motor cycles,20645
499,2011,Allerdale,E07000026, G Wholesale and retail trade; repair of motor vehicles and motor cycles,6718
515,2011,Barrow-in-Furness,E07000027, C Manufacturing,6701
553,2011,Carlisle,E07000028, G Wholesale and retail trade; repair of motor vehicles and motor cycles,10556
569,2011,Copeland,E07000029, C Manufacturing,8069
607,2011,Eden,E07000030, G Wholesale and retail trade; repair of motor vehicles and motor cycles,4572
634,2011,South Lakeland,E07000031, G Wholesale and retail trade; repair of motor vehicles and motor cycles,9818
661,2011,Bolton,E08000001, G Wholesale and retail trade; repair of motor vehicles and motor cycles,22351
698,2011,Bury,E08000002, Q Human health and social work activities,13584
725,2011,Manchester,E08000003, Q Human health and social work activities,44984
742,2011,Oldham,E08000004, G Wholesale and retail trade; repair of motor vehicles and motor cycles,18285
769,2011,Rochdale,E08000005, G Wholesale and retail trade; repair of motor vehicles and motor cycles,14443
796,2011,Salford,E08000006, G Wholesale and retail trade; repair of motor vehicles and motor cycles,16951
823,2011,Stockport,E08000007, G Wholesale and retail trade; repair of motor vehicles and motor cycles,21748
850,2011,Tameside,E08000008, G Wholesale and retail trade; repair of motor vehicles and motor cycles,14537
877,2011,Trafford,E08000009, G Wholesale and retail trade; repair of motor vehicles and motor cycles,26905
904,2011,Wigan,E08000010, G Wholesale and retail trade; repair of motor vehicles and motor cycles,21434
931,2011,Burnley,E07000117, G Wholesale and retail trade; repair of motor vehicles and motor cycles,6478
968,2011,Chorley,E07000118, Q Human health and social work activities,6812
974,2011,Fylde,E07000119, C Manufacturing,9797
1012,2011,Hyndburn,E07000120, G Wholesale and retail trade; repair of motor vehicles and motor cycles,6518
1049,2011,Lancaster,E07000121, Q Human health and social work activities,9636
1055,2011,Pendle,E07000122, C Manufacturing,8089
1093,2011,Preston,E07000123, G Wholesale and retail trade; repair of motor vehicles and motor cycles,15041
1109,2011,Ribble Valley,E07000124, C Manufacturing,7273
1136,2011,Rossendale,E07000125, C Manufacturing,4460
1174,2011,South Ribble,E07000126, G Wholesale and retail trade; repair of motor vehicles and motor cycles,8735
1201,2011,West Lancashire,E07000127, G Wholesale and retail trade; repair of motor vehicles and motor cycles,9137
1228,2011,Wyre,E07000128, G Wholesale and retail trade; repair of motor vehicles and motor cycles,6956
1265,2011,Knowsley,E08000011, Q Human health and social work activities,10733
1292,2011,Liverpool,E08000012, Q Human health and social work activities,42414
1309,2011,Sefton,E08000014, G Wholesale and retail trade; repair of motor vehicles and motor cycles,17844
1336,2011,St. Helens,E08000013, G Wholesale and retail trade; repair of motor vehicles and motor cycles,12523
1373,2011,Wirral,E08000015, Q Human health and social work activities,20877
1390,2011,East Riding of Yorkshire,E06000011, G Wholesale and retail trade; repair of motor vehicles and motor cycles,21652
1417,2011,"Kingston upon Hull, City of",E06000010, G Wholesale and retail trade; repair of motor vehicles and motor cycles,22449
1444,2011,North East Lincolnshire,E06000012, G Wholesale and retail trade; repair of motor vehicles and motor cycles,13727
1460,2011,North Lincolnshire,E06000013, C Manufacturing,16523
1498,2011,York,E06000014, G Wholesale and retail trade; repair of motor vehicles and motor cycles,17460
1525,2011,Craven,E07000163, G Wholesale and retail trade; repair of motor vehicles and motor cycles,4361
1560,2011,Hambleton,E07000164, O Public administration and defence; compulsory social security,7591
1579,2011,Harrogate,E07000165, G Wholesale and retail trade; repair of motor vehicles and motor cycles,14432
1614,2011,Richmondshire,E07000166, O Public administration and defence; compulsory social security,9004
1633,2011,Ryedale,E07000167, G Wholesale and retail trade; repair of motor vehicles and motor cycles,4009
1660,2011,Scarborough,E07000168, G Wholesale and retail trade; repair of motor vehicles and motor cycles,7927
1687,2011,Selby,E07000169, G Wholesale and retail trade; repair of motor vehicles and motor cycles,5440
1714,2011,Barnsley,E08000016, G Wholesale and retail trade; repair of motor vehicles and motor cycles,13339
1741,2011,Doncaster,E08000017, G Wholesale and retail trade; repair of motor vehicles and motor cycles,25294
