"date","geography","geography code","Industry: All categories: Industry; measures: Value","Industry: A Agriculture, forestry and fishing; measures: Value","Industry: B Mining and quarrying; measures: Value","Industry: C Manufacturing; measures: Value","Industry: C10-12 Manufacturing: Food, beverages and tobacco; measures: Value","Industry: C13-15 Manufacturing: Textiles, wearing apparel and leather and related products; measures: Value","Industry: C16,17 Manufacturing: Wood, paper and paper products; measures: Value","Industry: C19-22 Manufacturing: Chemicals, chemical products, rubber and plastic; measures: Value","Industry: C23-25 Manufacturing: Low tech; measures: Value","Industry: C26-30 Manufacturing: High tech; measures: Value","Industry: C18, 31, 32 Manufacturing: Other; measures: Value","Industry: D Electricity, gas, steam and air conditioning supply; measures: Value","Industry: E Water supply, sewerage, waste management and remediation activities; measures: Value","Industry: F Construction; measures: Value","Industry: G Wholesale and retail trade; repair of motor vehicles and motor cycles; measures: Value","Industry: H Transport and storage; measures: Value","Industry: I Accommodation and food service activities; measures: Value","Industry: J Information and communication; measures: Value","Industry: K Financial and insurance activities; measures: Value","Industry: L Real estate activities; measures: Value","Industry: M Professional, scientific and technical activities; measures: Value","Industry: N Administrative and support service activities; measures: Value","Industry: O Public administration and defence; compulsory social security; measures: Value","Industry: P Education; measures: Value","Industry: Q Human health and social work activities; measures: Value","Industry: R,S Arts, entertainment and recreation; other service activities; measures: Value","Industry: T Activities of households as employers; undifferentiated goods - and services - producing activities of households for own use; measures: Value","Industry: U Activities of extraterritorial organisations and bodies; measures: Value"
"2011","Darlington","E06000005",52096,290,58,4097,282,93,244,456,834,1179,1009,126,262,3936,8770,2856,2960,2945,2281,491,2535,2350,3198,3941,8777,2207,13,3
"2011","County Durham","E06000047",196872,2093,589,26428,3602,785,763,4175,4703,7687,4713,1697,2495,16740,29107,8189,11774,2779,3539,2416,6913,7671,16899,21621,27017,8806,84,15
"2011","Hartlepool","E06000001",34197,131,95,4015,298,67,163,705,1391,793,598,761,507,3270,5198,1268,1938,388,448,525,1125,1329,2241,3727,5589,1631,10,1
"2011","Middlesbrough","E06000002",62839,52,80,3048,572,58,27,550,857,311,673,530,237,4171,9636,2868,3578,1305,1104,1040,2414,2790,4491,8133,14528,2807,18,9
"2011","Northumberland","E06000057",123686,3629,479,12782,1292,271,1288,2584,2026,2154,3167,496,924,10234,18455,4561,8815,2022,1824,1658,5433,4491,12826,10698,17943,6325,82,9
"2011","Redcar and Cleveland","E06000003",45844,255,967,5527,398,201,81,1104,2536,505,702,437,459,4000,7302,2546,2648,540,550,755,2010,1913,2331,5225,6274,2079,18,8
"2011","Stockton-on-Tees","E06000004",86322,244,292,9383,1476,172,155,2329,1985,1506,1760,797,710,7462,14867,4192,4173,2244,3546,1020,5385,3980,5393,7809,11545,3255,20,5
"2011","Gateshead","E08000037",91882,157,151,11137,951,273,266,1746,2742,2500,2659,330,549,8158,18202,5311,4790,2588,1918,1157,3502,4847,5902,7408,11846,3904,18,7
"2011","Newcastle upon Tyne","E08000021",169652,142,204,8267,1195,190,92,1216,1631,1827,2116,680,440,8871,22517,8454,11399,7154,8201,2726,13148,7730,13020,19855,28403,8358,66,17
"2011","North Tyneside","E08000022",84221,131,105,7059,682,300,181,1302,1149,1275,2170,622,494,6993,12967,3049,4192,4624,3156,1329,3718,4137,9146,7086,11811,3564,31,7
"2011","South Tyneside","E08000023",50317,70,180,5543,247,327,157,288,1131,1746,1647,318,335,4510,7691,2755,2893,918,765,685,1690,2202,3473,5060,8763,2449,13,4
"2011","Sunderland","E08000024",126089,113,136,17470,531,481,425,846,1858,10289,3040,3792,1040,8984,18879,6239,6417,2923,4883,1988,3228,5880,10336,11359,17294,5098,25,5
"2011","Blackburn with Darwen","E06000008",64522,121,11,9958,1135,892,876,1736,1391,1548,2380,237,455,4065,10850,2701,2707,1936,1171,800,2870,2560,3301,7675,10630,2444,25,5
"2011","Blackpool","E06000009",63189,55,12,3759,1280,114,30,456,386,637,856,236,235,3995,9725,2606,7419,849,1183,707,2006,2443,6767,5525,11809,3830,22,6
"2011","Cheshire East","E06000049",182026,2724,399,24747,2731,799,981,5972,2667,7493,4104,644,1063,10967,30722,7952,10537,7263,8966,2702,13881,8470,5377,14921,22155,8314,198,24
"2011","Cheshire West and Chester","E06000050",158249,2034,332,16675,2106,333,439,4418,2398,4411,2570,570,1199,10353,29503,6436,10337,4199,8600,2185,10327,7378,7847,15117,17961,7073,116,7
