"date","geography","geography code","Method of travel to work: All categories: Method of travel to work (2001 specification); measures: Value","Method of travel to work: Work mainly at or from home; measures: Value","Method of travel to work: Underground, metro, light rail or tram; measures: Value","Method of travel to work: Train; measures: Value","Method of travel to work: Bus, minibus or coach; measures: Value","Method of travel to work: Taxi; measures: Value","Method of travel to work: Motorcycle, scooter or moped; measures: Value","Method of travel to work: Driving a car or van; measures: Value","Method of travel to work: Passenger in a car or van; measures: Value","Method of travel to work: Bicycle; measures: Value","Method of travel to work: On foot; measures: Value","Method of travel to work: Other method of travel to work; measures: Value"
"2011","Darlington","E06000005",52096,4180,39,511,3644,403,220,32023,3570,1160,6188,158
"2011","County Durham","E06000047",196872,20652,228,856,11769,1322,874,121748,15574,2168,20988,693
"2011","Hartlepool","E06000001",34197,2473,21,152,2367,623,149,20748,2757,674,4083,150
"2011","Middlesbrough","E06000002",62839,3337,34,781,5747,860,222,39034,4663,1350,6562,249
"2011","Northumberland","E06000057",123686,17890,426,572,5547,510,543,73242,8085,1950,14312,609
"2011","Redcar and Cleveland","E06000003",45844,4034,18,278,2340,355,230,29164,3259,827,5116,223
"2011","Stockton-on-Tees","E06000004",86322,6376,75,572,5004,619,406,57790,6431,1639,6993,417
"2011","Gateshead","E08000037",91882,6383,2915,570,11923,484,397,54720,5765,1167,7258,300
"2011","Newcastle upon Tyne","E08000021",169652,8430,15765,3315,28173,1076,723,82753,9212,3956,15685,564
"2011","North Tyneside","E08000022",84221,6997,4225,791,7622,744,341,48329,5405,1928,7436,403
"2011","South Tyneside","E08000023",50317,3875,2134,323,5117,252,233,28207,3068,1159,5455,494
"2011","Sunderland","E08000024",126089,7705,2119,564,15162,732,567,76232,9809,1659,11046,494
"2011","Blackburn with Darwen","E06000008",64522,4930,38,755,3790,1026,325,40687,4844,644,7281,202
"2011","Blackpool","E06000009",63189,6173,29,345,5171,568,574,35460,4461,1857,8271,280
"2011","Cheshire East","E06000049",182026,23337,163,3003,3930,531,1216,118621,9835,4628,16146,616
"2011","Cheshire West and Chester","E06000050",158249,17178,120,2205,6533,801,1035,101889,9384,4071,14519,514
"2011","Halton","E06000006",57420,3696,38,460,3308,324,398,39038,3744,1211,5022,181
"2011","Warrington","E06000007",114983,9336,175,2026,6030,453,798,78952,6862,2673,7346,332
"2011","Allerdale","E07000026",40513,6025,9,159,1380,113,181,23530,2890,676,5403,147
"2011","Barrow-in-Furness","E07000027",31302,2009,14,321,1510,409,534,17293,2246,1619,5209,138
"2011","Carlisle","E07000028",56652,5463,38,410,3657,185,328,33230,3483,1434,8262,162
"2011","Copeland","E07000029",34640,2782,16,678,1430,147,306,22465,3341,553,2809,113
"2011","Eden","E07000030",28783,5771,17,135,1123,78,105,15835,1482,356,3770,111
"2011","South Lakeland","E07000031",52022,9125,20,449,1141,195,307,28447,2868,1339,7937,194
"2011","Bolton","E08000001",114946,10086,115,1932,8142,1462,680,71797,7882,1237,11220,393
"2011","Bury","E08000002",73437,7689,1556,390,5352,715,349,44768,4422,893,7049,254
"2011","Manchester","E08000003",319745,15288,8396,25027,53920,2017,1659,157568,13350,9699,31665,1156
"2011","Oldham","E08000004",89047,7349,101,445,8612,965,444,53888,6321,937,9643,342
"2011","Rochdale","E08000005",79184,7075,88,691,5821,1349,428,49288,5385,913,7854,292
"2011","Salford","E08000006",113752,7987,2017,2814,9352,1001,621,69795,6415,2261,11064,425
